MNIST-1617224843,1617224845.248,0.94,0.0113,1.0,0.0028
MNIST-1617224843,1617224845.255,0.98,0.0046,0.94,0.01
MNIST-1617224843,1617224845.262,0.93,0.0097,1.0,0.0002
MNIST-1617224843,1617224845.268,0.95,0.0071,0.97,0.0075
MNIST-1617224843,1617224845.275,0.98,0.0035,0.97,0.0057
MNIST-1617224843,1617224845.281,0.96,0.0062,0.97,0.0047
MNIST-1617224843,1617224845.287,0.97,0.0049,0.97,0.0047
MNIST-1617224843,1617224845.293,0.93,0.0118,0.88,0.0193
MNIST-1617224843,1617224845.299,0.94,0.0108,0.91,0.0122
MNIST-1617224843,1617224845.306,0.95,0.0093,0.91,0.0131
MNIST-1617224843,1617224845.311,0.96,0.0039,1.0,0.0009
MNIST-1617224843,1617224845.317,0.97,0.0057,0.94,0.0073
MNIST-1617224843,1617224845.324,0.98,0.0041,0.88,0.0145
MNIST-1617224843,1617224845.331,0.96,0.0067,0.97,0.0044
MNIST-1617224843,1617224845.337,0.95,0.0079,0.91,0.012
MNIST-1617224843,1617224845.344,0.95,0.0075,0.97,0.0054
MNIST-1617224843,1617224845.349,0.98,0.0041,0.97,0.0048
MNIST-1617224843,1617224845.357,0.95,0.0086,0.94,0.0099
MNIST-1617224843,1617224845.363,0.95,0.0066,0.97,0.0052
MNIST-1617224843,1617224845.369,0.93,0.0083,0.91,0.0098
MNIST-1617224843,1617224845.375,0.98,0.0035,0.94,0.0096
MNIST-1617224843,1617224845.381,0.97,0.0053,0.94,0.0113
MNIST-1617224843,1617224845.387,0.96,0.0066,0.94,0.01
MNIST-1617224843,1617224845.393,0.95,0.0083,0.94,0.0097
MNIST-1617224843,1617224845.399,0.96,0.0083,1.0,0.0016
MNIST-1617224843,1617224845.406,0.95,0.0067,0.94,0.0068
MNIST-1617224843,1617224845.412,0.99,0.0039,0.88,0.0146
MNIST-1617224843,1617224845.417,0.92,0.0089,0.97,0.0025
MNIST-1617224843,1617224845.423,0.97,0.0062,0.97,0.0057
MNIST-1617224843,1617224845.429,0.94,0.0082,1.0,0.0008
MNIST-1617224843,1617224845.435,0.95,0.0066,0.94,0.0119
MNIST-1617224843,1617224845.442,0.96,0.0077,0.97,0.0053
MNIST-1617224843,1617224845.448,0.93,0.0092,0.97,0.0086
MNIST-1617224843,1617224845.454,0.99,0.0026,0.97,0.0056
MNIST-1617224843,1617224845.461,0.95,0.0092,0.94,0.0093
MNIST-1617224843,1617224845.467,0.95,0.0075,0.97,0.004
MNIST-1617224843,1617224845.472,0.96,0.0057,1.0,0.0016
MNIST-1617224843,1617224845.478,0.96,0.0053,0.94,0.008
MNIST-1617224843,1617224845.484,0.98,0.0045,0.91,0.0122
MNIST-1617224843,1617224845.491,0.93,0.0108,0.88,0.0167
MNIST-1617224843,1617224845.497,0.96,0.0075,0.91,0.0127
MNIST-1617224843,1617224845.504,0.96,0.0074,0.91,0.0096
MNIST-1617224843,1617224845.511,0.99,0.003,1.0,0.0008
MNIST-1617224843,1617224845.518,0.93,0.0104,0.97,0.0039
MNIST-1617224843,1617224845.524,0.97,0.005,0.94,0.0065
MNIST-1617224843,1617224845.532,0.96,0.0081,0.97,0.0036
MNIST-1617224843,1617224845.538,0.94,0.0086,0.94,0.0125
MNIST-1617224843,1617224845.545,0.97,0.0043,0.97,0.0026
MNIST-1617224843,1617224845.551,0.94,0.0058,0.94,0.0125
MNIST-1617224843,1617224845.559,0.99,0.0037,0.97,0.0066
MNIST-1617224843,1617224845.564,0.98,0.0052,0.97,0.0054
MNIST-1617224843,1617224845.57,0.95,0.007,0.97,0.0046
MNIST-1617224843,1617224845.576,0.96,0.0058,0.94,0.007
MNIST-1617224843,1617224845.582,0.94,0.0105,1.0,0.0009
MNIST-1617224843,1617224845.588,0.97,0.004,1.0,0.0008
MNIST-1617224843,1617224845.594,0.98,0.0037,0.97,0.0083
MNIST-1617224843,1617224845.6,0.97,0.0049,1.0,0.0018
MNIST-1617224843,1617224845.607,0.95,0.0063,0.94,0.0111
MNIST-1617224843,1617224845.612,0.93,0.0071,0.97,0.0054
MNIST-1617224843,1617224845.618,0.91,0.0114,0.97,0.0037
MNIST-1617224843,1617224845.623,0.98,0.0031,0.97,0.0043
MNIST-1617224843,1617224845.629,0.95,0.0063,0.94,0.0062
MNIST-1617224843,1617224845.636,0.96,0.0062,0.97,0.0067
MNIST-1617224843,1617224845.642,0.92,0.01,0.97,0.0037
MNIST-1617224843,1617224845.648,0.95,0.008,0.94,0.0077
MNIST-1617224843,1617224845.654,0.96,0.0058,1.0,0.0009
MNIST-1617224843,1617224845.661,0.97,0.0039,0.94,0.0108
MNIST-1617224843,1617224845.667,0.96,0.0065,0.81,0.0244
MNIST-1617224843,1617224845.673,0.96,0.004,0.94,0.0103
MNIST-1617224843,1617224845.679,0.92,0.0102,1.0,0.0006
MNIST-1617224843,1617224845.685,0.94,0.0076,1.0,0.0004
MNIST-1617224843,1617224845.692,0.93,0.0109,0.97,0.005
MNIST-1617224843,1617224845.698,0.92,0.0145,0.97,0.0049
MNIST-1617224843,1617224845.704,0.96,0.007,0.97,0.0059
MNIST-1617224843,1617224845.71,0.93,0.0081,0.94,0.0094
MNIST-1617224843,1617224845.716,1.0,0.0015,0.94,0.0083
MNIST-1617224843,1617224845.721,0.99,0.0016,0.91,0.0125
MNIST-1617224843,1617224845.727,0.95,0.0094,0.97,0.0043
MNIST-1617224843,1617224845.733,0.94,0.0097,1.0,0.0032
MNIST-1617224843,1617224845.74,0.98,0.0023,0.94,0.0072
MNIST-1617224843,1617224845.746,0.99,0.0021,0.97,0.005
MNIST-1617224843,1617224845.752,0.96,0.0045,1.0,0.0034
MNIST-1617224843,1617224845.757,0.97,0.004,0.97,0.0054
MNIST-1617224843,1617224845.764,0.93,0.0089,1.0,0.0005
MNIST-1617224843,1617224845.77,0.95,0.0049,0.97,0.0025
MNIST-1617224843,1617224845.777,0.94,0.0075,1.0,0.0029
MNIST-1617224843,1617224845.782,0.98,0.0035,0.94,0.0104
MNIST-1617224843,1617224845.789,0.96,0.006,0.94,0.0081
MNIST-1617224843,1617224845.795,0.95,0.0087,0.91,0.0155
MNIST-1617224843,1617224845.802,0.94,0.007,1.0,0.0019
MNIST-1617224843,1617224845.807,0.99,0.0039,1.0,0.0001
MNIST-1617224843,1617224845.813,0.95,0.0078,1.0,0.0008
MNIST-1617224843,1617224845.819,0.99,0.0024,1.0,0.0017
MNIST-1617224843,1617224845.825,0.93,0.0097,1.0,0.0016
MNIST-1617224843,1617224845.831,0.99,0.0027,0.94,0.0083
MNIST-1617224843,1617224845.838,0.95,0.0091,0.88,0.0158
MNIST-1617224843,1617224845.843,0.96,0.0045,0.84,0.0218
MNIST-1617224843,1617224845.85,0.98,0.003,0.94,0.0108
MNIST-1617224843,1617224845.856,0.97,0.0042,0.94,0.0049
MNIST-1617224843,1617224845.862,0.96,0.0049,0.97,0.0037
MNIST-1617224843,1617224845.868,0.95,0.0063,1.0,0.0008
MNIST-1617224843,1617224845.874,0.97,0.0064,1.0,0.0015
MNIST-1617224843,1617224845.88,0.94,0.0085,0.97,0.0028
MNIST-1617224843,1617224845.886,0.96,0.0048,0.91,0.0101
MNIST-1617224843,1617224845.892,0.94,0.0091,0.97,0.0037
MNIST-1617224843,1617224845.898,0.98,0.0041,0.97,0.0036
MNIST-1617224843,1617224845.905,0.98,0.0043,1.0,0.002
MNIST-1617224843,1617224845.911,0.95,0.0072,0.88,0.0162
MNIST-1617224843,1617224845.919,0.94,0.0086,0.94,0.0094
MNIST-1617224843,1617224845.925,0.96,0.0057,0.94,0.005
MNIST-1617224843,1617224845.931,0.97,0.0042,1.0,0.0012
MNIST-1617224843,1617224845.937,1.0,0.0006,1.0,0.0007
MNIST-1617224843,1617224845.943,0.96,0.0063,1.0,0.0029
